C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0006071	MmuEX0005774	MmuEX0005810
MmuEX0006075	MmuEX0005799	MmuEX0005820
MmuEX0006142	MmuEX0005807	MmuEX0005838
MmuEX0006181	MmuEX0005843	MmuEX0005845
MmuEX0006231	MmuEX0005872	MmuEX0005885
MmuEX0006281	MmuEX0005886	MmuEX0005904
MmuEX0006391	MmuEX0005896	MmuEX0005937
MmuEX0006392	MmuEX0006023	MmuEX0005962
MmuEX0006465	MmuEX0006029	MmuEX0006033
MmuEX0006569	MmuEX0006107	MmuEX0006087
MmuEX0006611	MmuEX0006112	MmuEX0006105
MmuEX0006656	MmuEX0006137	MmuEX0006123
MmuEX0006703	MmuEX0006158	MmuEX0006152
MmuEX0006845	MmuEX0006159	MmuEX0006153
MmuEX0006848	MmuEX0006160	MmuEX0006237
MmuEX0006893	MmuEX0006169	MmuEX0006241
MmuEX0007026	MmuEX0006271	MmuEX0006287
MmuEX0007085	MmuEX0006459	MmuEX0006427
MmuEX0007087	MmuEX0006470	MmuEX0006429
MmuEX0007094	MmuEX0006510	MmuEX0006477
MmuEX0007095	MmuEX0006522	MmuEX0006537
MmuEX0007096	MmuEX0006528	MmuEX0006604
MmuEX0007153	MmuEX0006548	MmuEX0006605
MmuEX0007188	MmuEX0006562	MmuEX0006781
MmuEX0007263	MmuEX0006574	MmuEX0006783
MmuEX0007264	MmuEX0006595	MmuEX0006820
MmuEX0007375	MmuEX0006671	MmuEX0006841
MmuEX0007392	MmuEX0006682	MmuEX0006890
MmuEX0007446	MmuEX0006702	MmuEX0006895
MmuEX0007486	MmuEX0006754	MmuEX0006950
MmuEX0007567	MmuEX0006775	MmuEX0007048
MmuEX0007569	MmuEX0006850	MmuEX0007058
MmuEX0007570	MmuEX0006880	MmuEX0007059
MmuEX0007591	MmuEX0006886	MmuEX0007151
MmuEX0007654	MmuEX0006903	MmuEX0007152
MmuEX0007655	MmuEX0006919	MmuEX0007168
MmuEX0007744	MmuEX0006938	MmuEX0007185
MmuEX0007750	MmuEX0006987	MmuEX0007190
MmuEX0007808	MmuEX0006991	MmuEX0007225
MmuEX0007815	MmuEX0007014	MmuEX0007229
MmuEX0007894	MmuEX0007020	MmuEX0007230
MmuEX0007940	MmuEX0007032	MmuEX0007232
MmuEX0007962	MmuEX0007050	MmuEX0007269
MmuEX0007979	MmuEX0007072	MmuEX0007273
MmuEX0008032	MmuEX0007093	MmuEX0007325
