C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0067833	MmuINT0062434	MmuINT0089848	MmuINT0093023	MmuINT0071693	MmuINT0067906
MmuINT0067990	MmuINT0063133	MmuINT0090073	MmuINT0093048	MmuINT0071694	MmuINT0068965
MmuINT0068076	MmuINT0063145	MmuINT0090438	MmuINT0093086	MmuINT0072122	MmuINT0069146
MmuINT0068903	MmuINT0063192	MmuINT0090493	MmuINT0093143	MmuINT0072767	MmuINT0069555
MmuINT0068981	MmuINT0063417	MmuINT0090652	MmuINT0093242	MmuINT0072789	MmuINT0070768
MmuINT0069310	MmuINT0063454	MmuINT0090888	MmuINT0093558	MmuINT0073456	MmuINT0071153
MmuINT0071530	MmuINT0063497	MmuINT0091087	MmuINT0093713	MmuINT0074879	MmuINT0071791
MmuINT0071739	MmuINT0064492	MmuINT0091119	MmuINT0094541	MmuINT0076933	MmuINT0071883
MmuINT0072013	MmuINT0064578	MmuINT0091521	MmuINT0094559	MmuINT0078556	MmuINT0071896
MmuINT0072215	MmuINT0064917	MmuINT0091929	MmuINT0095499	MmuINT0079142	MmuINT0071963
MmuINT0072773	MmuINT0064931	MmuINT0092827	MmuINT0095926	MmuINT0079210	MmuINT0071994
MmuINT0073423	MmuINT0066272	MmuINT0092957	MmuINT0096010	MmuINT0079627	MmuINT0072077
MmuINT0074528	MmuINT0066334	MmuINT0093019	MmuINT0096026	MmuINT0080141	MmuINT0072546
MmuINT0074713	MmuINT0066394	MmuINT0093065	MmuINT0096028	MmuINT0080469	MmuINT0072956
MmuINT0074882	MmuINT0066500	MmuINT0093067	MmuINT0096068	MmuINT0080559	MmuINT0073157
MmuINT0075082	MmuINT0066532	MmuINT0093092	MmuINT0096234	MmuINT0081029	MmuINT0074162
MmuINT0075115	MmuINT0066824	MmuINT0093359	MmuINT0096551	MmuINT0081341	MmuINT0074726
MmuINT0075304	MmuINT0066974	MmuINT0093464	MmuINT0097533	MmuINT0081750	MmuINT0075218
MmuINT0075346	MmuINT0067250	MmuINT0094012	MmuINT0098104	MmuINT0082272	MmuINT0075985
MmuINT0075368	MmuINT0067342	MmuINT0094535	MmuINT0098226	MmuINT0082879	MmuINT0076209
MmuINT0075612	MmuINT0068084	MmuINT0094608	MmuINT0098792	MmuINT0083001	MmuINT0076501
MmuINT0075939	MmuINT0068105	MmuINT0094618	MmuINT0098857	MmuINT0083437	MmuINT0076613
MmuINT0076118	MmuINT0068997	MmuINT0094832	MmuINT0099378	MmuINT0084160	MmuINT0077346
MmuINT0077468	MmuINT0069193	MmuINT0095065	MmuINT0099654	MmuINT0085077	MmuINT0078251
MmuINT0077774	MmuINT0069405	MmuINT0096079	MmuINT0099682	MmuINT0085102	MmuINT0078320
MmuINT0077805	MmuINT0070411	MmuINT0096122	MmuINT0099972	MmuINT0085269	MmuINT0078363
MmuINT0077933	MmuINT0070612	MmuINT0096192	MmuINT0100453	MmuINT0085727	MmuINT0078688
MmuINT0078302	MmuINT0070718	MmuINT0096196	MmuINT0100683	MmuINT0086764	MmuINT0078800
MmuINT0078507	MmuINT0070771	MmuINT0096246	MmuINT0100936	MmuINT0087231	MmuINT0079282
MmuINT0078863	MmuINT0071159	MmuINT0096280	MmuINT0101717	MmuINT0087274	MmuINT0079385
MmuINT0079060	MmuINT0071433	MmuINT0096938	MmuINT0102095	MmuINT0087742	MmuINT0079625
MmuINT0079135	MmuINT0071749	MmuINT0097139	MmuINT0102108	MmuINT0089004	MmuINT0079940
MmuINT0079192	MmuINT0071944	MmuINT0097140	MmuINT0102137	MmuINT0089653	MmuINT0079978
MmuINT0079288	MmuINT0072007	MmuINT0097179	MmuINT0102707	MmuINT0089816	MmuINT0080083
MmuINT0079296	MmuINT0072104	MmuINT0097562	MmuINT0102747	MmuINT0089846	MmuINT0080160
MmuINT0079297	MmuINT0072680	MmuINT0097787	MmuINT0102762	MmuINT0089855	MmuINT0081342
MmuINT0079299	MmuINT0072771	MmuINT0097983	MmuINT0102851	MmuINT0089944	MmuINT0081343
MmuINT0079939	MmuINT0072941	MmuINT0098180	MmuINT0103030	MmuINT0090078	MmuINT0081922
MmuINT0080076	MmuINT0073196	MmuINT0098492	MmuINT0104438	MmuINT0090146	MmuINT0082093
MmuINT0080612	MmuINT0074685	MmuINT0098903	MmuINT0104967	MmuINT0090320	MmuINT0082280
MmuINT0080673	MmuINT0074772	MmuINT0099109	MmuINT0105136	MmuINT0090476	MmuINT0082930
MmuINT0081637	MmuINT0074779	MmuINT0099345	MmuINT0105360	MmuINT0090545	MmuINT0083863
MmuINT0081801	MmuINT0076640	MmuINT0099468	MmuINT0105691	MmuINT0090848	MmuINT0085276
MmuINT0081824	MmuINT0077339	MmuINT0099891	MmuINT0106335	MmuINT0090954	MmuINT0086045
MmuINT0081833	MmuINT0077926	MmuINT0099893	MmuINT0106533	MmuINT0091120	MmuINT0086385
MmuINT0081903	MmuINT0078315	MmuINT0099968	MmuINT0106769	MmuINT0091358	MmuINT0086934
MmuINT0082039	MmuINT0079211	MmuINT0100238	MmuINT0108030	MmuINT0091463	MmuINT0087337
MmuINT0082244	MmuINT0079213	MmuINT0100242	MmuINT0108405	MmuINT0091747	MmuINT0087637
MmuINT0082256	MmuINT0079225	MmuINT0100532	MmuINT0108567	MmuINT0092057	MmuINT0087859
MmuINT0082488	MmuINT0079300	MmuINT0100643	MmuINT0108725	MmuINT0092243	MmuINT0088878
MmuINT0082655	MmuINT0079431	MmuINT0100792	MmuINT0109235	MmuINT0093080	MmuINT0089056
MmuINT0082700	MmuINT0079727	MmuINT0101179	MmuINT0109338	MmuINT0093140	MmuINT0089539
MmuINT0082888	MmuINT0079980	MmuINT0101227	MmuINT0110643	MmuINT0093160	MmuINT0090002
MmuINT0083132	MmuINT0080010	MmuINT0101262	MmuINT0110769	MmuINT0093357	MmuINT0090325
MmuINT0083156	MmuINT0080201	MmuINT0101696	MmuINT0111221	MmuINT0093593	MmuINT0090347
MmuINT0083159	MmuINT0080464	MmuINT0102158	MmuINT0111539	MmuINT0094480	MmuINT0090436
MmuINT0084073	MmuINT0080468	MmuINT0102228	MmuINT0111636	MmuINT0094539	MmuINT0090542
MmuINT0084137	MmuINT0080471	MmuINT0102701	MmuINT0111648	MmuINT0094944	MmuINT0090720
MmuINT0085128	MmuINT0080568	MmuINT0102759	MmuINT0111738	MmuINT0095066	MmuINT0090866
MmuINT0085259	MmuINT0081033	MmuINT0102761	MmuINT0111755	MmuINT0095490	MmuINT0090913
MmuINT0085477	MmuINT0081662	MmuINT0104016	MmuINT0112036	MmuINT0095547	MmuINT0091152
MmuINT0085711	MmuINT0081684	MmuINT0104836	MmuINT0112385	MmuINT0095714	MmuINT0091590
MmuINT0085943	MmuINT0081787	MmuINT0106100	MmuINT0112428	MmuINT0095874	MmuINT0091607
MmuINT0086057	MmuINT0081901	MmuINT0106255	MmuINT0112826	MmuINT0095936	MmuINT0091930
MmuINT0086653	MmuINT0082019	MmuINT0106713	MmuINT0113474	MmuINT0096104	MmuINT0091931
MmuINT0086701	MmuINT0082180	MmuINT0107101	MmuINT0113560	MmuINT0096107	MmuINT0092307
MmuINT0086964	MmuINT0082388	MmuINT0107613	MmuINT0113798	MmuINT0096218	MmuINT0092446
MmuINT0087254	MmuINT0082539	MmuINT0107881	MmuINT0114554	MmuINT0096243	MmuINT0093302
MmuINT0087262	MmuINT0082954	MmuINT0108548	MmuINT0114939	MmuINT0096287	MmuINT0093324
MmuINT0087340	MmuINT0083436	MmuINT0108788	MmuINT0115010	MmuINT0096291	MmuINT0093556
MmuINT0087708	MmuINT0083522	MmuINT0109344	MmuINT0115212	MmuINT0096862	MmuINT0093891
MmuINT0087709	MmuINT0083838	MmuINT0110049	MmuINT0115236	MmuINT0097116	MmuINT0094189
MmuINT0087744	MmuINT0084517	MmuINT0110119	MmuINT0115272	MmuINT0097119	MmuINT0094590
MmuINT0087753	MmuINT0084596	MmuINT0110412	MmuINT0115769	MmuINT0097483	MmuINT0095135
MmuINT0087827	MmuINT0084690	MmuINT0110426	MmuINT0116114	MmuINT0098059	MmuINT0095183
MmuINT0088001	MmuINT0084732	MmuINT0111838	MmuINT0116267	MmuINT0098194	MmuINT0095195
MmuINT0089364	MmuINT0085260	MmuINT0113498	MmuINT0116269	MmuINT0098662	MmuINT0095866
MmuINT0090500	MmuINT0085297	MmuINT0113499	MmuINT0116835	MmuINT0098714	MmuINT0096245
MmuINT0090646	MmuINT0085313	MmuINT0113831	MmuINT0116974	MmuINT0098758	MmuINT0096572
MmuINT0091007	MmuINT0085470	MmuINT0113914	MmuINT0117474	MmuINT0098779	MmuINT0096573
MmuINT0091149	MmuINT0085479	MmuINT0114191	MmuINT0118273	MmuINT0098858	MmuINT0096592
MmuINT0091426	MmuINT0086222	MmuINT0114223	MmuINT0118504	MmuINT0098972	MmuINT0096962
MmuINT0091508	MmuINT0086961	MmuINT0114485	MmuINT0119363	MmuINT0098999	MmuINT0097106
MmuINT0091741	MmuINT0087617	MmuINT0114749	MmuINT0119420	MmuINT0099379	MmuINT0097115
MmuINT0092043	MmuINT0087958	MmuINT0114881	MmuINT0119458	MmuINT0099473	MmuINT0097344
MmuINT0092335	MmuINT0088368	MmuINT0114947	MmuINT0119575	MmuINT0100177	MmuINT0097414
MmuINT0092831	MmuINT0088425	MmuINT0114981	MmuINT0119576	MmuINT0100326	MmuINT0097841
MmuINT0093088	MmuINT0088621	MmuINT0115419	MmuINT0119681	MmuINT0100736	MmuINT0097979
MmuINT0093155	MmuINT0089002	MmuINT0115741	MmuINT0119851	MmuINT0100782	MmuINT0098007
MmuINT0093523	MmuINT0089643	MmuINT0115844	MmuINT0119874	MmuINT0100833	MmuINT0098106
MmuINT0093838	MmuINT0089845	MmuINT0115865	MmuINT0120957	MmuINT0100867	MmuINT0098600
MmuINT0094481	MmuINT0089860	MmuINT0115892	MmuINT0121033	MmuINT0100878	MmuINT0098868
MmuINT0094547	MmuINT0090588	MmuINT0115926	MmuINT0121118	MmuINT0100930	MmuINT0098987
MmuINT0095290	MmuINT0090914	MmuINT0116749	MmuINT0121944	MmuINT0100947	MmuINT0098989
MmuINT0095444	MmuINT0091387	MmuINT0116882	MmuINT0122280	MmuINT0101156	MmuINT0099098
MmuINT0095922	MmuINT0091422	MmuINT0116966	MmuINT0122790	MmuINT0101228	MmuINT0099664
MmuINT0095923	MmuINT0091518	MmuINT0116967	MmuINT0123226	MmuINT0101465	MmuINT0099887
MmuINT0096199	MmuINT0091592	MmuINT0117338	MmuINT0123505	MmuINT0101478	MmuINT0100344
MmuINT0096244	MmuINT0091718	MmuINT0117409	MmuINT0123520	MmuINT0101488	MmuINT0100766
MmuINT0096842	MmuINT0092086	MmuINT0117976	MmuINT0123854	MmuINT0101634	MmuINT0100938
MmuINT0097195	MmuINT0093017	MmuINT0118139	MmuINT0124539	MmuINT0101918	MmuINT0100998
MmuINT0097543	MmuINT0093056	MmuINT0119179	MmuINT0124691	MmuINT0101928	MmuINT0101176
MmuINT0097586	MmuINT0093071	MmuINT0119233	MmuINT0124719	MmuINT0102083	MmuINT0101692
MmuINT0098006	MmuINT0093530	MmuINT0119429	MmuINT0124722	MmuINT0102754	MmuINT0101719
MmuINT0098020	MmuINT0094443	MmuINT0119574	MmuINT0125441	MmuINT0104085	MmuINT0102711
MmuINT0098044	MmuINT0094914	MmuINT0119914	MmuINT0125609	MmuINT0104317	MmuINT0103150
MmuINT0098129	MmuINT0095226	MmuINT0120033	MmuINT0125853	MmuINT0104332	MmuINT0104015
MmuINT0098262	MmuINT0095344	MmuINT0121180	MmuINT0126629	MmuINT0104972	MmuINT0104510
MmuINT0098663	MmuINT0095534	MmuINT0121501	MmuINT0127086	MmuINT0105105	MmuINT0104923
MmuINT0098728	MmuINT0096072	MmuINT0121579	MmuINT0128094	MmuINT0105335	MmuINT0105354
MmuINT0098753	MmuINT0096083	MmuINT0121698	MmuINT0128350	MmuINT0105756	MmuINT0105378
MmuINT0099655	MmuINT0096091	MmuINT0121905	MmuINT0128445	MmuINT0106129	MmuINT0105771
MmuINT0100111	MmuINT0096219	MmuINT0122024	MmuINT0128492	MmuINT0106205	MmuINT0106204
MmuINT0100121	MmuINT0096656	MmuINT0122543	MmuINT0128519	MmuINT0106804	MmuINT0106371
MmuINT0100742	MmuINT0096973	MmuINT0122651	MmuINT0128535	MmuINT0106990	MmuINT0106638
MmuINT0100871	MmuINT0097141	MmuINT0122979	MmuINT0128843	MmuINT0107058	MmuINT0107056
MmuINT0100890	MmuINT0098008	MmuINT0123037	MmuINT0129041	MmuINT0107114	MmuINT0107073
MmuINT0100978	MmuINT0098102	MmuINT0123129	MmuINT0129704	MmuINT0107491	MmuINT0107151
MmuINT0100996	MmuINT0098128	MmuINT0123435	MmuINT0129705	MmuINT0108251	MmuINT0107340
MmuINT0101022	MmuINT0098239	MmuINT0123959	MmuINT0129967	MmuINT0108393	MmuINT0107489
MmuINT0101451	MmuINT0098252	MmuINT0124176	MmuINT0129977	MmuINT0108980	MmuINT0107490
MmuINT0101545	MmuINT0098863	MmuINT0124395	MmuINT0130236	MmuINT0109023	MmuINT0107540
MmuINT0101725	MmuINT0099031	MmuINT0124434	MmuINT0130238	MmuINT0109462	MmuINT0107806
MmuINT0102021	MmuINT0099267	MmuINT0124435	MmuINT0130540	MmuINT0109471	MmuINT0108070
MmuINT0102141	MmuINT0100150	MmuINT0124486	MmuINT0131007	MmuINT0109496	MmuINT0108438
MmuINT0102240	MmuINT0100271	MmuINT0124768	MmuINT0131208	MmuINT0110250	MmuINT0108971
MmuINT0104017	MmuINT0100320	MmuINT0125020	MmuINT0131836	MmuINT0110337	MmuINT0109048
MmuINT0104198	MmuINT0100340	MmuINT0125193	MmuINT0131997	MmuINT0110513	MmuINT0109083
MmuINT0104840	MmuINT0100484	MmuINT0125725	MmuINT0132339	MmuINT0111053	MmuINT0109128
MmuINT0105362	MmuINT0100546	MmuINT0125752	MmuINT0132345	MmuINT0111451	MmuINT0109347
MmuINT0105582	MmuINT0100760	MmuINT0125940	MmuINT0132437	MmuINT0111600	MmuINT0109647
MmuINT0105692	MmuINT0100784	MmuINT0126087	MmuINT0132747	MmuINT0111945	MmuINT0110153
MmuINT0106302	MmuINT0100894	MmuINT0126162	MmuINT0134200	MmuINT0112121	MmuINT0110252
MmuINT0106589	MmuINT0101261	MmuINT0126263	MmuINT0134231	MmuINT0112411	MmuINT0110346
MmuINT0106768	MmuINT0101417	MmuINT0126586	MmuINT0134663	MmuINT0113454	MmuINT0110502
MmuINT0107049	MmuINT0101556	MmuINT0126794	MmuINT0135068	MmuINT0113566	MmuINT0110512
MmuINT0107063	MmuINT0101607	MmuINT0126992	MmuINT0135072	MmuINT0113570	MmuINT0110621
MmuINT0107143	MmuINT0102190	MmuINT0128618	MmuINT0136014	MmuINT0113655	MmuINT0111083
MmuINT0107482	MmuINT0103219	MmuINT0129799	MmuINT0136873	MmuINT0114115	MmuINT0111784
MmuINT0107494	MmuINT0103239	MmuINT0130585	MmuINT0137255	MmuINT0114737	MmuINT0111931
MmuINT0107880	MmuINT0103735	MmuINT0130714	MmuINT0137299	MmuINT0114938	MmuINT0112191
MmuINT0107882	MmuINT0103993	MmuINT0131716	MmuINT0137474	MmuINT0114983	MmuINT0112429
MmuINT0108334	MmuINT0104101	MmuINT0131776	MmuINT0137482	MmuINT0115109	MmuINT0112697
MmuINT0108454	MmuINT0104421	MmuINT0131898	MmuINT0137972	MmuINT0115202	MmuINT0112981
MmuINT0108672	MmuINT0104431	MmuINT0132300	MmuINT0138402	MmuINT0115283	MmuINT0113453
MmuINT0108722	MmuINT0105436	MmuINT0132503	MmuINT0138867	MmuINT0115360	MmuINT0113774
MmuINT0108876	MmuINT0105556	MmuINT0132942	MmuINT0139116	MmuINT0116078	MmuINT0114084
MmuINT0108976	MmuINT0105755	MmuINT0133169	MmuINT0139197	MmuINT0116134	MmuINT0114642
MmuINT0108977	MmuINT0105851	MmuINT0133411	MmuINT0140078	MmuINT0116210	MmuINT0114647
MmuINT0109024	MmuINT0106230	MmuINT0133429	MmuINT0140134	MmuINT0116234	MmuINT0114739
MmuINT0109345	MmuINT0106326	MmuINT0133440	MmuINT0140229	MmuINT0116904	MmuINT0114930
MmuINT0109473	MmuINT0106544	MmuINT0133515	MmuINT0140747	MmuINT0116973	MmuINT0115053
MmuINT0109570	MmuINT0107348	MmuINT0133672	MmuINT0141449	MmuINT0117416	MmuINT0115102
MmuINT0110334	MmuINT0107390	MmuINT0133776	MmuINT0141480	MmuINT0117593	MmuINT0115625
MmuINT0110636	MmuINT0107558	MmuINT0133921	MmuINT0141638	MmuINT0117970	MmuINT0116075
MmuINT0111398	MmuINT0108250	MmuINT0134332	MmuINT0141660	MmuINT0118137	MmuINT0116096
MmuINT0111549	MmuINT0108258	MmuINT0135477	MmuINT0142899	MmuINT0118698	MmuINT0116111
MmuINT0111551	MmuINT0108273	MmuINT0135498	MmuINT0142906	MmuINT0119379	MmuINT0117581
MmuINT0111599	MmuINT0108483	MmuINT0135637	MmuINT0144072	MmuINT0119452	MmuINT0117591
MmuINT0111644	MmuINT0108734	MmuINT0135717	MmuINT0144308	MmuINT0119915	MmuINT0118403
MmuINT0112017	MmuINT0108791	MmuINT0135940	MmuINT0144407	MmuINT0120063	MmuINT0118511
MmuINT0112020	MmuINT0109080	MmuINT0136247	MmuINT0144845	MmuINT0120962	MmuINT0118512
MmuINT0112025	MmuINT0109081	MmuINT0136467	MmuINT0145129	MmuINT0121667	MmuINT0118673
MmuINT0112026	MmuINT0109308	MmuINT0136955	MmuINT0145429	MmuINT0121880	MmuINT0119030
MmuINT0112382	MmuINT0110226	MmuINT0137403	MmuINT0145611	MmuINT0121971	MmuINT0119476
MmuINT0112919	MmuINT0110332	MmuINT0137639	MmuINT0145641	MmuINT0122428	MmuINT0119554
MmuINT0112982	MmuINT0110410	MmuINT0137680	MmuINT0145734	MmuINT0122437	MmuINT0119578
MmuINT0113293	MmuINT0110503	MmuINT0138870	MmuINT0145888	MmuINT0122813	MmuINT0119637
MmuINT0113508	MmuINT0110604	MmuINT0139219	MmuINT0145963	MmuINT0123876	MmuINT0119727
MmuINT0113608	MmuINT0110639	MmuINT0139363	MmuINT0146055	MmuINT0123938	MmuINT0119852
MmuINT0113754	MmuINT0110640	MmuINT0139400	MmuINT0146856	MmuINT0124027	MmuINT0119933
MmuINT0114078	MmuINT0110641	MmuINT0140144	MmuINT0146889	MmuINT0124062	MmuINT0120221
MmuINT0114149	MmuINT0110642	MmuINT0140196	MmuINT0146911	MmuINT0124450	MmuINT0120243
MmuINT0114208	MmuINT0110706	MmuINT0140238	MmuINT0146912	MmuINT0124497	MmuINT0120777
MmuINT0114638	MmuINT0110978	MmuINT0140532	MmuINT0146929	MmuINT0124681	MmuINT0121206
MmuINT0114639	MmuINT0111087	MmuINT0140543	MmuINT0147661	MmuINT0124905	MmuINT0121212
MmuINT0114850	MmuINT0111239	MmuINT0140596	MmuINT0148147	MmuINT0125246	MmuINT0122140
MmuINT0115090	MmuINT0111526	MmuINT0141185	MmuINT0148390	MmuINT0125328	MmuINT0122272
MmuINT0115336	MmuINT0112027	MmuINT0142084	MmuINT0148405	MmuINT0125393	MmuINT0122806
MmuINT0115414	MmuINT0112120	MmuINT0142449	MmuINT0148484	MmuINT0125648	MmuINT0123127
MmuINT0115422	MmuINT0112130	MmuINT0143545	MmuINT0148920	MmuINT0125778	MmuINT0123130
MmuINT0115492	MmuINT0112189	MmuINT0143676	MmuINT0149172	MmuINT0125872	MmuINT0123614
MmuINT0115511	MmuINT0113278	MmuINT0143818	MmuINT0149456	MmuINT0125965	MmuINT0123874
MmuINT0115650	MmuINT0113429	MmuINT0143865	MmuINT0149516	MmuINT0126115	MmuINT0123935
MmuINT0115813	MmuINT0113517	MmuINT0144093	MmuINT0149525	MmuINT0126211	MmuINT0124251
MmuINT0115956	MmuINT0114080	MmuINT0144285	MmuINT0149783	MmuINT0126379	MmuINT0124786
MmuINT0115961	MmuINT0114491	MmuINT0146048	MmuINT0149871	MmuINT0126627	MmuINT0124854
MmuINT0115975	MmuINT0114651	MmuINT0146169	MmuINT0149968	MmuINT0127053	MmuINT0124964
MmuINT0116256	MmuINT0114742	MmuINT0146351	MmuINT0149998	MmuINT0127322	MmuINT0124969
MmuINT0116591	MmuINT0115179	MmuINT0146559	MmuINT0150180	MmuINT0127854	MmuINT0125302
MmuINT0116784	MmuINT0115234	MmuINT0147541	MmuINT0150245	MmuINT0128099	MmuINT0125389
MmuINT0117315	MmuINT0115323	MmuINT0147880	MmuINT0150569	MmuINT0128337	MmuINT0125434
MmuINT0117571	MmuINT0115327	MmuINT0147948	MmuINT0151737	MmuINT0128369	MmuINT0125463
MmuINT0117577	MmuINT0115649	MmuINT0148146	MmuINT0152088	MmuINT0128817	MmuINT0125878
MmuINT0118046	MmuINT0116080	MmuINT0148160	MmuINT0152241	MmuINT0129257	MmuINT0125937
MmuINT0118274	MmuINT0116676	MmuINT0148493	MmuINT0152282	MmuINT0129969	MmuINT0126156
MmuINT0118513	MmuINT0116720	MmuINT0148599	MmuINT0152467	MmuINT0130201	MmuINT0126634
MmuINT0118583	MmuINT0116723	MmuINT0148696	MmuINT0152639	MmuINT0130286	MmuINT0126829
MmuINT0118686	MmuINT0116975	MmuINT0148786	MmuINT0152708	MmuINT0130308	MmuINT0127260
MmuINT0119074	MmuINT0117570	MmuINT0149395	MmuINT0152764	MmuINT0130593	MmuINT0127718
MmuINT0119839	MmuINT0117573	MmuINT0149465	MmuINT0152886	MmuINT0130827	MmuINT0127855
MmuINT0119844	MmuINT0117705	MmuINT0149485	MmuINT0153028	MmuINT0130871	MmuINT0127889
MmuINT0120336	MmuINT0117839	MmuINT0149630	MmuINT0153767	MmuINT0131030	MmuINT0128278
MmuINT0120790	MmuINT0118283	MmuINT0149817	MmuINT0153782	MmuINT0131333	MmuINT0128298
MmuINT0120953	MmuINT0118284	MmuINT0149985	MmuINT0153871	MmuINT0131517	MmuINT0128330
MmuINT0121213	MmuINT0118797	MmuINT0150001	MmuINT0154880	MmuINT0131539	MmuINT0128456
MmuINT0121504	MmuINT0118896	MmuINT0150050	MmuINT0155056	MmuINT0131848	MmuINT0128939
MmuINT0121668	MmuINT0119076	MmuINT0150214	MmuINT0155248	MmuINT0131911	MmuINT0129360
MmuINT0121840	MmuINT0119191	MmuINT0150288	MmuINT0155256	MmuINT0131959	MmuINT0129796
MmuINT0122801	MmuINT0119229	MmuINT0150402	MmuINT0155502	MmuINT0131993	MmuINT0130317
MmuINT0122909	MmuINT0119230	MmuINT0151087	MmuINT0155701	MmuINT0132336	MmuINT0130504
MmuINT0123293	MmuINT0119572	MmuINT0151481	MmuINT0156248	MmuINT0132436	MmuINT0130570
MmuINT0123443	MmuINT0119705	MmuINT0152314	MmuINT0156273	MmuINT0132464	MmuINT0130575
MmuINT0123451	MmuINT0120545	MmuINT0152333	MmuINT0156297	MmuINT0132533	MmuINT0130666
MmuINT0123745	MmuINT0120920	MmuINT0152770	MmuINT0156801	MmuINT0132751	MmuINT0130855
MmuINT0123925	MmuINT0120925	MmuINT0153797	MmuINT0157208	MmuINT0133372	MmuINT0130997
MmuINT0123973	MmuINT0120943	MmuINT0154002	MmuINT0157275	MmuINT0133838	MmuINT0131341
MmuINT0124297	MmuINT0121714	MmuINT0154003	MmuINT0157283	MmuINT0133871	MmuINT0131847
MmuINT0124302	MmuINT0121876	MmuINT0154202	MmuINT0158521	MmuINT0133892	MmuINT0132302
MmuINT0124433	MmuINT0122010	MmuINT0154254	MmuINT0158828	MmuINT0134070	MmuINT0132554
MmuINT0124698	MmuINT0122925	MmuINT0154523	MmuINT0159026	MmuINT0134576	MmuINT0132871
MmuINT0125029	MmuINT0123089	MmuINT0154640	MmuINT0159901	MmuINT0134688	MmuINT0133170
MmuINT0125334	MmuINT0123286	MmuINT0154862	MmuINT0160213	MmuINT0134789	MmuINT0133202
MmuINT0125383	MmuINT0123497	MmuINT0154936	MmuINT0161162	MmuINT0134797	MmuINT0133369
MmuINT0125392	MmuINT0123573	MmuINT0154946	MmuINT0161508	MmuINT0134857	MmuINT0133447
MmuINT0125440	MmuINT0123595	MmuINT0155088	MmuINT0162811	MmuINT0134897	MmuINT0133682
MmuINT0125454	MmuINT0123668	MmuINT0155339	MmuINT0162829	MmuINT0135219	MmuINT0133953
MmuINT0125614	MmuINT0123870	MmuINT0155354	MmuINT0162858	MmuINT0135475	MmuINT0134075
MmuINT0125617	MmuINT0123958	MmuINT0155997	MmuINT0163790	MmuINT0135664	MmuINT0134134
MmuINT0126422	MmuINT0124170	MmuINT0156005	MmuINT0164215	MmuINT0135687	MmuINT0134572
MmuINT0126454	MmuINT0124174	MmuINT0156634	MmuINT0164575	MmuINT0135913	MmuINT0135262
MmuINT0126882	MmuINT0124294	MmuINT0156829	MmuINT0164608	MmuINT0136049	MmuINT0135337
MmuINT0127928	MmuINT0124412	MmuINT0157209	MmuINT0164629	MmuINT0136122	MmuINT0135542
MmuINT0128102	MmuINT0124674	MmuINT0157297	MmuINT0164669	MmuINT0136392	MmuINT0135759
MmuINT0128113	MmuINT0124705	MmuINT0158294	MmuINT0164949	MmuINT0136417	MmuINT0135993
MmuINT0128163	MmuINT0124852	MmuINT0158849	MmuINT0165237	MmuINT0136807	MmuINT0136157
MmuINT0128757	MmuINT0125039	MmuINT0158910	MmuINT0165667	MmuINT0137138	MmuINT0136303
MmuINT0128825	MmuINT0125286	MmuINT0159003	MmuINT0166467	MmuINT0137149	MmuINT0136445
MmuINT0128926	MmuINT0125373	MmuINT0159125	MmuINT0166510	MmuINT0137384	MmuINT0136969
MmuINT0129794	MmuINT0125750	MmuINT0159410	MmuINT0167251	MmuINT0137618	MmuINT0137044
MmuINT0130109	MmuINT0125902	MmuINT0159458	MmuINT0167568	MmuINT0137827	MmuINT0137179
MmuINT0130334	MmuINT0126793	MmuINT0159667	MmuINT0167572	MmuINT0138754	MmuINT0137180
MmuINT0130432	MmuINT0127036	MmuINT0159819	MmuINT0167594	MmuINT0138864	MmuINT0137716
MmuINT0130437	MmuINT0127199	MmuINT0160205	MmuINT0168667	MmuINT0138881	MmuINT0137861
MmuINT0130580	MmuINT0127712	MmuINT0160550	MmuINT0169183	MmuINT0138956	MmuINT0138882
MmuINT0130774	MmuINT0127856	MmuINT0160751	MmuINT0169270	MmuINT0139189	MmuINT0139233
MmuINT0130901	MmuINT0127901	MmuINT0160795	MmuINT0169934	MmuINT0140064	MmuINT0139364
MmuINT0131164	MmuINT0128103	MmuINT0160904	MmuINT0170605	MmuINT0140587	MmuINT0139366
MmuINT0131472	MmuINT0128214	MmuINT0160914	MmuINT0170938	MmuINT0140593	MmuINT0139425
MmuINT0131524	MmuINT0128284	MmuINT0161093	MmuINT0171661	MmuINT0140843	MmuINT0139488
MmuINT0132249	MmuINT0128596	MmuINT0161115	MmuINT0171930	MmuINT0140966	MmuINT0140061
MmuINT0132526	MmuINT0129039	MmuINT0161157	MmuINT0172509	MmuINT0141284	MmuINT0140605
MmuINT0132528	MmuINT0129672	MmuINT0161164	MmuINT0172793	MmuINT0141408	MmuINT0140615
MmuINT0132547	MmuINT0129930	MmuINT0161309	MmuINT0173587	MmuINT0141809	MmuINT0140712
MmuINT0132919	MmuINT0129971	MmuINT0161909	MmuINT0174363	MmuINT0142026	MmuINT0140713
MmuINT0132952	MmuINT0129972	MmuINT0162014	MmuINT0174540	MmuINT0142793	MmuINT0141354
MmuINT0133426	MmuINT0130112	MmuINT0162064	MmuINT0175023	MmuINT0144068	MmuINT0141381
MmuINT0133531	MmuINT0130124	MmuINT0162093	MmuINT0176458	MmuINT0144073	MmuINT0141966
