C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0015614	MmuINT0017109	MmuINT0021306	MmuINT0021922	MmuINT0016754	MmuINT0019457
MmuINT0015936	MmuINT0017205	MmuINT0021430	MmuINT0022298	MmuINT0016871	MmuINT0020323
MmuINT0016758	MmuINT0017512	MmuINT0021491	MmuINT0022554	MmuINT0017124	MmuINT0020522
MmuINT0017201	MmuINT0017776	MmuINT0021610	MmuINT0022704	MmuINT0017147	MmuINT0020743
MmuINT0017374	MmuINT0017883	MmuINT0021725	MmuINT0023152	MmuINT0017895	MmuINT0021486
MmuINT0017718	MmuINT0018415	MmuINT0022270	MmuINT0023783	MmuINT0017931	MmuINT0021487
MmuINT0017790	MmuINT0018949	MmuINT0022289	MmuINT0023873	MmuINT0018250	MmuINT0021942
MmuINT0019099	MmuINT0018958	MmuINT0022545	MmuINT0023874	MmuINT0018922	MmuINT0022178
MmuINT0019356	MmuINT0019067	MmuINT0022558	MmuINT0024905	MmuINT0019090	MmuINT0022282
MmuINT0019914	MmuINT0019190	MmuINT0022772	MmuINT0024957	MmuINT0019423	MmuINT0022559
MmuINT0020071	MmuINT0019203	MmuINT0023138	MmuINT0025710	MmuINT0019757	MmuINT0022609
MmuINT0020075	MmuINT0019206	MmuINT0023462	MmuINT0025742	MmuINT0019822	MmuINT0022809
MmuINT0020520	MmuINT0019326	MmuINT0023767	MmuINT0026001	MmuINT0019839	MmuINT0023389
MmuINT0020960	MmuINT0019984	MmuINT0024801	MmuINT0027084	MmuINT0020343	MmuINT0023405
MmuINT0021169	MmuINT0019988	MmuINT0024945	MmuINT0027954	MmuINT0020465	MmuINT0023447
MmuINT0021332	MmuINT0020308	MmuINT0025608	MmuINT0028116	MmuINT0020496	MmuINT0024171
MmuINT0021478	MmuINT0020593	MmuINT0025723	MmuINT0028121	MmuINT0021523	MmuINT0024223
MmuINT0021481	MmuINT0020602	MmuINT0025838	MmuINT0028134	MmuINT0022271	MmuINT0024410
MmuINT0021592	MmuINT0020611	MmuINT0025851	MmuINT0028250	MmuINT0022693	MmuINT0025321
MmuINT0021634	MmuINT0020697	MmuINT0026050	MmuINT0029130	MmuINT0022887	MmuINT0025537
MmuINT0021982	MmuINT0020903	MmuINT0026094	MmuINT0029469	MmuINT0023606	MmuINT0025654
MmuINT0021983	MmuINT0020947	MmuINT0026141	MmuINT0030642	MmuINT0023817	MmuINT0025715
MmuINT0022175	MmuINT0021118	MmuINT0026356	MmuINT0030873	MmuINT0023852	MmuINT0025797
MmuINT0022205	MmuINT0021313	MmuINT0026890	MmuINT0031020	MmuINT0024220	MmuINT0025853
MmuINT0022317	MmuINT0021445	MmuINT0027284	MmuINT0031193	MmuINT0024340	MmuINT0026377
MmuINT0022489	MmuINT0021993	MmuINT0028468	MmuINT0031682	MmuINT0024360	MmuINT0026471
MmuINT0023473	MmuINT0022038	MmuINT0030050	MmuINT0031867	MmuINT0024403	MmuINT0026865
MmuINT0023475	MmuINT0022552	MmuINT0030313	MmuINT0032032	MmuINT0025050	MmuINT0028260
MmuINT0024044	MmuINT0022614	MmuINT0030570	MmuINT0032409	MmuINT0025714	MmuINT0028957
MmuINT0024064	MmuINT0022696	MmuINT0030950	MmuINT0032649	MmuINT0026005	MmuINT0029178
MmuINT0024260	MmuINT0022913	MmuINT0031055	MmuINT0034409	MmuINT0026069	MmuINT0029268
MmuINT0024268	MmuINT0023026	MmuINT0031484	MmuINT0034755	MmuINT0026382	MmuINT0029818
MmuINT0025440	MmuINT0023839	MmuINT0032750	MmuINT0037392	MmuINT0026561	MmuINT0029858
MmuINT0025615	MmuINT0023868	MmuINT0032805	MmuINT0037432	MmuINT0026737	MmuINT0030034
MmuINT0025656	MmuINT0024032	MmuINT0033561	MmuINT0039642	MmuINT0027824	MmuINT0030055
MmuINT0025701	MmuINT0024940	MmuINT0033719	MmuINT0040449	MmuINT0028266	MmuINT0030209
MmuINT0025713	MmuINT0025180	MmuINT0034481	MmuINT0040490	MmuINT0029204	MmuINT0030360
MmuINT0026000	MmuINT0025441	MmuINT0034577	MmuINT0041037	MmuINT0030203	MmuINT0030903
MmuINT0026006	MmuINT0025649	MmuINT0035531	MmuINT0041102	MmuINT0030207	MmuINT0031059
MmuINT0026137	MmuINT0026003	MmuINT0035969	MmuINT0041144	MmuINT0030247	MmuINT0031073
